,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total_wins
Mumbai Indians,7,5,11,10,10,13,7,10,7,12,6,11,11,120
Chennai Super Kings,9,8,9,11,10,12,10,10,0,0,11,10,6,106
Kolkata Knight Riders,6,3,7,8,12,6,11,7,8,9,9,6,7,99
Royal Challengers Bangalore,4,9,8,10,8,9,5,8,9,3,6,5,7,91
Kings XI Punjab,10,7,4,7,8,8,12,3,4,7,6,6,6,88
Rajasthan Royals,13,6,6,6,7,11,7,7,0,0,7,5,6,81
Delhi Daredevils,7,10,7,4,11,3,2,5,7,6,5,0,0,67
Sunrisers Hyderabad,0,0,0,0,0,10,6,7,11,8,10,6,8,66
Deccan Chargers,2,9,8,6,4,0,0,0,0,0,0,0,0,29
Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,10,9,19
Gujarat Lions,0,0,0,0,0,0,0,0,9,4,0,0,0,13
Pune Warriors,0,0,0,4,4,4,0,0,0,0,0,0,0,12
Rising Pune Supergiant,0,0,0,0,0,0,0,0,0,10,0,0,0,10
Kochi Tuskers Kerala,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Rising Pune Supergiants,0,0,0,0,0,0,0,0,5,0,0,0,0,5
