,Player_name,Total_fours,Total_sixes,Total_runs,Team
5,V Kohli,508,201,4609,Royal Challengers Bangalore
15,SK Raina,494,193,3410,Chennai Super Kings
25,RG Sharma,459,212,3179,Mumbai Indians
16,MS Dhoni,317,214,3012,Chennai Super Kings
30,DA Warner,515,192,2713,Sunrisers Hyderabad
6,AB de Villiers,393,232,2682,Royal Challengers Bangalore
0,G Gambhir,499,58,2533,Kolkata Knight Riders
20,AM Rahane,422,76,2350,Rajasthan Royals
7,CH Gayle,397,344,2170,Royal Challengers Bangalore
26,KA Pollard,197,195,2107,Mumbai Indians
31,S Dhawan,595,108,2087,Sunrisers Hyderabad
27,SR Tendulkar,300,29,2044,Mumbai Indians
28,AT Rayudu,308,132,1964,Mumbai Indians
10,SE Marsh,272,77,1908,Kings XI Punjab
1,RV Uthappa,464,163,1839,Kolkata Knight Riders
21,SR Watson,377,190,1730,Rajasthan Royals
17,F du Plessis,207,73,1652,Chennai Super Kings
18,MEK Hussey,200,52,1461,Chennai Super Kings
22,SV Samson,192,115,1430,Rajasthan Royals
2,YK Pathan,265,159,1421,Kolkata Knight Riders
40,V Sehwag,340,105,1410,Delhi Daredevils
19,M Vijay,251,91,1405,Chennai Super Kings
11,KL Rahul,237,104,1398,Kings XI Punjab
12,DA Miller,131,86,1374,Kings XI Punjab
3,JH Kallis,257,44,1237,Kolkata Knight Riders
32,KS Williamson,140,54,1222,Sunrisers Hyderabad
23,R Dravid,272,28,1177,Rajasthan Royals
41,DA Warner,515,192,1106,Delhi Daredevils
29,SA Yadav,222,58,1062,Mumbai Indians
8,JH Kallis,257,44,1054,Royal Challengers Bangalore
4,MK Pandey,290,93,1048,Kolkata Knight Riders
42,G Gambhir,499,58,991,Delhi Daredevils
43,SS Iyer,188,83,972,Delhi Daredevils
35,RG Sharma,459,212,909,Deccan Chargers
13,Mandeep Singh,172,37,880,Kings XI Punjab
33,MK Pandey,290,93,874,Sunrisers Hyderabad
14,WP Saha,187,64,868,Kings XI Punjab
24,SPD Smith,211,56,868,Rajasthan Royals
36,AC Gilchrist,240,92,865,Deccan Chargers
44,KD Karthik,378,105,835,Delhi Daredevils
45,SS Iyer,188,83,830,Delhi Capitals
46,S Dhawan,595,108,824,Delhi Capitals
37,S Dhawan,595,108,763,Deccan Chargers
38,HH Gibbs,84,31,746,Deccan Chargers
9,R Dravid,272,28,741,Royal Challengers Bangalore
39,A Symonds,75,41,638,Deccan Chargers
47,RR Pant,187,102,623,Delhi Capitals
34,MC Henriques,86,27,597,Sunrisers Hyderabad
48,PP Shaw,100,27,440,Delhi Capitals
49,MP Stoinis,67,34,250,Delhi Capitals
