,Player Name,Total Runs,Dot balls,Fours,Sixes,Team
0,G Gambhir,2533,975,352,46,Kolkata Knight Riders
1,RV Uthappa,1839,706,255,85,Kolkata Knight Riders
2,YK Pathan,1421,508,150,86,Kolkata Knight Riders
3,JH Kallis,1237,513,128,23,Kolkata Knight Riders
4,MK Pandey,1048,358,102,38,Kolkata Knight Riders
5,V Kohli,4605,1622,504,202,Royal Challengers Bangalore
6,AB de Villiers,2635,816,330,221,Royal Challengers Bangalore
7,CH Gayle,2166,1009,248,238,Royal Challengers Bangalore
8,JH Kallis,1054,469,127,21,Royal Challengers Bangalore
9,R Dravid,741,269,97,17,Royal Challengers Bangalore
10,SE Marsh,1908,734,266,78,Kings XI Punjab
11,KL Rahul,1398,497,173,80,Kings XI Punjab
12,DA Miller,1374,465,126,87,Kings XI Punjab
13,Mandeep Singh,880,334,115,16,Kings XI Punjab
14,WP Saha,868,314,98,37,Kings XI Punjab
15,SK Raina,3410,1219,412,171,Chennai Super Kings
16,MS Dhoni,3012,1027,280,186,Chennai Super Kings
17,F du Plessis,1652,583,187,64,Chennai Super Kings
18,MEK Hussey,1461,564,181,45,Chennai Super Kings
19,M Vijay,1405,625,150,68,Chennai Super Kings
20,AM Rahane,2350,894,302,53,Rajasthan Royals
21,SR Watson,1730,724,237,109,Rajasthan Royals
22,SV Samson,1430,511,139,88,Rajasthan Royals
23,R Dravid,1177,550,172,11,Rajasthan Royals
24,SPD Smith,868,299,108,20,Rajasthan Royals
25,RG Sharma,3179,1192,362,163,Mumbai Indians
26,KA Pollard,2107,813,196,198,Mumbai Indians
27,SR Tendulkar,2044,874,296,29,Mumbai Indians
28,AT Rayudu,1964,693,205,79,Mumbai Indians
29,SA Yadav,1062,393,167,37,Mumbai Indians
30,S Dhawan,2850,1114,399,74,DC/Surises
31,DA Warner,2713,952,364,137,DC/Surises
32,KS Williamson,1222,389,137,54,DC/Surises
33,RG Sharma,909,340,96,51,DC/Surises
34,MK Pandey,874,312,91,29,DC/Surises
35,SS Iyer,1802,691,189,83,DD/Delhi Capitals
36,RR Pant,1416,494,184,103,DD/Delhi Capitals
37,V Sehwag,1410,541,266,85,DD/Delhi Capitals
38,S Dhawan,1132,395,166,32,DD/Delhi Capitals
39,DA Warner,1096,473,145,56,DD/Delhi Capitals
